sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,SuperBuiltUpArea,builtUpArea,carpetArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score
sector 112,flat,experion windchants,2.6,10651.0,2441.09,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.),2.0,2.0,3,8.0,North-East,Relatively New,2441.0,1939.0,,0,0,0,0,0,0,168
sector 1a,flat,sbr minda sec 1 imt manesar,0.65,4259.0,1526.18,Carpet area: 1526 (141.77 sq.m.),3.0,2.0,3+,6.0,South,Moderately Old,,,1526.0,0,0,0,0,0,0,5
sector 17a,house,independent,3.93,24214.0,1623.0,Plot area 1623(150.78 sq.m.)Built Up area: 1622 sq.ft. (150.69 sq.m.),19.0,17.0,3.0,4.0,North-West,Relatively New,,1622.0,,0,1,1,1,1,0,74
sector 90,flat,green court,0.47,6811.0,690.06,Carpet area: 690 (64.1 sq.m.),2.0,2.0,1,0.0,East,New Property,,,690.0,0,0,0,0,0,0,49
sector 22,flat,ambience creacions,3.2,11500.0,2782.61,Super Built up area 2781(258.36 sq.m.),3.0,4.0,3+,2.0,North-East,New Property,2781.0,,,0,0,0,0,0,0,42
sector 111,flat,puri diplomatic greens,3.4,11525.0,2950.11,Super Built up area 2950(274.06 sq.m.),4.0,5.0,3+,14.0,East,Relatively New,2950.0,,,0,0,1,0,0,0,94
sector 89,flat,smart world gems,1.01,9156.0,1103.1,Carpet area: 1103 (102.47 sq.m.),2.0,2.0,2,4.0,,Under Construction,,,1103.0,0,0,0,0,1,0,38
sector 37d,flat,ramprastha the atrium,0.9,6225.0,1445.78,Super Built up area 1285(119.38 sq.m.)Built Up area: 1185 sq.ft. (110.09 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),3.0,3.0,2,13.0,South-East,Relatively New,1285.0,1185.0,975.0,0,0,0,0,0,1,37
sector 99a,flat,prime habitat,0.27,5432.0,497.05,Carpet area: 497 (46.17 sq.m.),2.0,2.0,1,4.0,North-East,New Property,,,497.0,0,0,0,0,0,0,7
sector 70a,flat,aipl the peaceful homes,2.5,11627.0,2150.17,Super Built up area 2150(199.74 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3.0,3.0,3+,15.0,North-East,Relatively New,2150.0,,1350.0,1,0,0,0,0,2,174
sector 92,flat,sare crescent parc,0.71,4933.0,1439.29,Carpet area: 1436 (133.41 sq.m.),3.0,3.0,2,6.0,,Relatively New,,,1436.0,0,0,0,0,0,0,37
sector 103,flat,ansal housing highland park,2.0,7490.0,2670.23,Super Built up area 2670(248.05 sq.m.),4.0,5.0,3+,14.0,,New Property,2670.0,,,0,0,1,0,0,0,45
sector 113,flat,la vida by tata housing,3.05,15561.0,1960.03,Super Built up area 2690(249.91 sq.m.)Built Up area: 2150 sq.ft. (199.74 sq.m.)Carpet area: 1960 sq.ft. (182.09 sq.m.),3.0,4.0,3,3.0,North-West,Relatively New,2690.0,2150.0,1960.0,0,0,1,0,0,0,174
sector 48,flat,parsvnath green ville,1.5,8787.0,1707.07,Super Built up area 1707(158.59 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,3,1.0,North,Old Property,1707.0,1600.0,1400.0,0,0,0,0,0,2,128
sector 1a,flat,sbr apartment,0.68,4456.0,1526.03,Built Up area: 1526 (141.77 sq.m.),3.0,3.0,3,2.0,,Moderately Old,,1526.0,,0,0,0,0,0,0,0
sector 104,flat,ats triumph,2.65,8412.0,3150.26,Super Built up area 3150(292.64 sq.m.)Carpet area: 2650 sq.ft. (246.19 sq.m.),4.0,4.0,3+,14.0,East,Relatively New,3150.0,,2650.0,0,0,1,0,0,0,21
sector 33,flat,unitech the residences,1.35,8737.0,1545.15,Super Built up area 1545(143.54 sq.m.),3.0,4.0,2,8.0,North-East,Moderately Old,1545.0,,,0,0,1,0,0,0,49
sector 95,flat,rof ananda,0.38,6919.0,549.21,Carpet area: 549.17 (51.02 sq.m.),2.0,2.0,1,4.0,,New Property,,,549.0,0,0,0,0,0,0,0
sohna road,flat,signature global park,0.75,6938.0,1081.0,Carpet area: 1081 (100.43 sq.m.),3.0,2.0,3+,4.0,East,New Property,,,1081.0,0,0,0,0,0,0,101
sector 36,house,independent,0.75,6938.0,1081.0,Built Up area: 1081 (100.43 sq.m.),3.0,1.0,0,1.0,,Undefined,,1081.0,,0,0,0,0,0,0,0
sector 107,flat,m3m woodshire,0.88,6442.0,1366.04,Super Built up area 1366(126.91 sq.m.),2.0,2.0,3+,3.0,East,Relatively New,1366.0,,,0,0,0,0,0,0,99
sector 109,flat,ats kocoon,1.7,9742.0,1745.02,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3.0,3.0,3,21.0,West,Moderately Old,1745.0,1550.0,1250.0,0,0,0,0,0,0,49
sector 69,flat,tulip violet,1.76,8756.0,2010.05,Super Built up area 2010(186.74 sq.m.),4.0,4.0,2,6.0,North,Relatively New,2010.0,,,0,0,0,0,0,0,108
sector 90,flat,dlf regal gardens,1.19,5505.0,2161.67,Super Built up area 1726(160.35 sq.m.),3.0,3.0,2,11.0,South-East,Relatively New,1726.0,,,1,0,0,0,0,0,88
sector 102,flat,shapoorji pallonji joyville gurugram,1.4,11666.0,1200.07,Super Built up area 1368(127.09 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,3,0.0,North,Relatively New,1368.0,,1200.0,0,0,0,0,0,0,80
sector 2,house,independent,4.95,20370.0,2430.0,Plot area 270(225.75 sq.m.),6.0,5.0,3+,3.0,West,Relatively New,,2430.0,,0,0,1,0,0,0,91
sector 113,flat,m3m capital,2.37,11500.0,2060.87,Built Up area: 2060 (191.38 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4.0,4.0,3+,20.0,East,Under Construction,,2060.0,1600.0,0,0,0,0,1,0,143
sector 53,flat,tulip monsella,8.25,28000.0,2946.43,Super Built up area 2940(273.13 sq.m.),3.0,4.0,3,8.0,,Under Construction,2940.0,,,0,0,1,0,0,1,35
sector 81,flat,vipul lavanya,0.75,5966.0,1257.12,Carpet area: 1257 (116.78 sq.m.),2.0,2.0,2,7.0,,Moderately Old,,,1257.0,0,0,0,0,0,0,37
dlf phase,house,luxury dlf city floors,20.0,48889.0,4090.9,Plot area 500(418.06 sq.m.),16.0,16.0,3+,4.0,,New Property,,4500.0,,0,0,1,0,0,2,31
sector 109,house,international city by sobha phase 2,8.75,24306.0,3599.9,Plot area 400(334.45 sq.m.),5.0,5.0,3+,3.0,North-East,New Property,,3600.0,,0,1,1,1,1,2,153
sector 49,house,uppal southend,3.75,25562.0,1467.0,Plot area 163(136.29 sq.m.),6.0,6.0,3.0,3.0,East,Moderately Old,,1467.0,,1,0,0,0,0,0,49
sector 99,flat,assotech blith,1.9,6702.0,2834.97,Built Up area: 2835 (263.38 sq.m.),4.0,4.0,3+,2.0,North-East,Undefined,,2835.0,,0,0,0,0,0,0,51
sector 81,flat,dlf the ultima,2.12,10080.0,2103.17,Super Built up area 2103(195.38 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3.0,3.0,3+,9.0,South,Relatively New,2103.0,1650.0,1257.0,1,1,1,0,1,1,49
sector 56,flat,sukhshanti apartment,1.7,7727.0,2200.08,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),3.0,3.0,3,4.0,South,Moderately Old,,2200.0,1610.0,0,0,0,0,1,0,49
sector 102,flat,shapoorji pallonji joyville gurugram,0.95,10383.0,914.96,Built Up area: 915 (85.01 sq.m.)Carpet area: 858 sq.ft. (79.71 sq.m.),2.0,2.0,2,14.0,North-West,Undefined,,915.0,858.0,0,0,0,0,0,0,0
sector 37d,flat,signature global the millennia,0.55,9166.0,600.04,Super Built up area 600(55.74 sq.m.),2.0,2.0,3,3.0,,New Property,600.0,,,0,0,0,0,0,0,53
sector 69,flat,tulip violet,1.9,9452.0,2010.16,Super Built up area 2010(186.74 sq.m.),4.0,4.0,2,0.0,South-West,Relatively New,2010.0,,,0,0,0,0,0,0,49
sector 85,flat,ss the leaf,1.1,9565.0,1150.03,Super Built up area 1640(152.36 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2.0,2.0,3,10.0,West,Relatively New,1640.0,1600.0,1150.0,0,1,0,0,0,0,150
sector 69,flat,tulip violet,1.37,8675.0,1579.25,Super Built up area 1578(146.6 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3.0,3.0,1,12.0,East,Relatively New,1578.0,,1538.0,0,1,0,0,0,0,95
sector 82a,flat,dlf the primus,2.6,11438.0,2273.12,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),4.0,4.0,3+,2.0,East,Relatively New,2273.0,,1340.0,1,0,0,0,0,0,38
sector 107,flat,signature global solera,0.27,5521.0,489.04,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,0.0,North-East,Relatively New,,,489.0,0,0,0,0,0,0,45
sector 81,flat,dlf the ultima,3.25,11805.0,2753.07,Super Built up area 2753(255.76 sq.m.),4.0,4.0,3+,11.0,North-West,Moderately Old,2753.0,,,0,0,1,0,0,0,28
sector 95,flat,rof ananda,0.2,5463.0,366.1,Carpet area: 366.08 (34.01 sq.m.),1.0,1.0,1,9.0,South-West,Relatively New,,,366.0,0,1,0,0,0,0,52
sector 79,flat,mapsko mount ville,1.65,9091.0,1814.98,Built Up area: 1815 (168.62 sq.m.),3.0,3.0,0,12.0,,Undefined,,1815.0,,0,0,0,0,0,0,0
sector 85,flat,orris aster court,0.67,5825.0,1150.21,Super Built up area 1375(127.74 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2.0,2.0,2,5.0,North-West,Relatively New,1375.0,1250.0,1150.0,1,0,0,0,0,2,174
sector 70,flat,shree vardhman victoria,1.62,13953.0,1161.04,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,3.0,3,9.0,North,Relatively New,1950.0,,1161.0,0,0,1,0,0,0,96
sector 113,flat,smartworld 1dxp,2.75,10589.0,2597.03,Carpet area: 2597 (241.27 sq.m.),4.0,4.0,3+,20.0,East,Under Construction,,,2597.0,0,1,1,0,1,1,57
sector 89,flat,smart world gems,0.9,8145.0,1104.97,Built Up area: 1105 (102.66 sq.m.),2.0,2.0,2,1.0,,Undefined,,1105.0,,0,0,0,0,0,0,45
sector 110,flat,indiabulls enigma,3.4,10000.0,3400.0,Super Built up area 3400(315.87 sq.m.),4.0,5.0,3,3.0,East,Relatively New,3400.0,,,0,0,1,1,0,0,90
sector 89,flat,smart world gems,1.2,8433.0,1422.98,Built Up area: 1423 (132.2 sq.m.)Carpet area: 920 sq.ft. (85.47 sq.m.),3.0,3.0,2,2.0,East,Undefined,,1423.0,920.0,0,0,0,0,0,0,45
sector 65,flat,m3m heights,2.01,13500.0,1488.89,Super Built up area 1516(140.84 sq.m.)Carpet area: 1433 sq.ft. (133.13 sq.m.),2.0,2.0,3,8.0,North-East,New Property,1516.0,,1433.0,0,0,0,0,1,0,44
sector 12,flat,allure homes,0.72,7272.0,990.1,Carpet area: 990 (91.97 sq.m.),2.0,2.0,1,2.0,,Relatively New,,,990.0,1,0,0,0,0,2,16
sector 57,house,independent,6.25,2778.0,22498.2,Plot area 3100(2591.99 sq.m.)Built Up area: 2660 sq.yards (2224.1 sq.m.)Carpet area: 2500 sq.yards (2090.32 sq.m.),9.0,9.0,3+,3.0,North-East,New Property,,2660.0,2500.0,0,0,1,0,0,2,61
sector 65,flat,emaar mgf emerald floors premier,2.24,13575.0,1650.09,Carpet area: 1650 (153.29 sq.m.),3.0,3.0,3,2.0,North-West,Relatively New,,,1650.0,0,0,1,0,1,0,46
sector 49,house,uppal southend,3.75,25562.0,1467.0,Built Up area: 163 (136.29 sq.m.),6.0,6.0,3+,3.0,East,Moderately Old,,163.0,,0,0,0,0,1,2,26
sector 61,flat,smart world orchard,1.58,13739.0,1150.01,Carpet area: 1150 (106.84 sq.m.),2.0,2.0,2,3.0,South,New Property,,,1150.0,0,0,0,0,1,0,15
sector 3,flat,shyam apartment,0.26,3714.0,700.05,Super Built up area 700(65.03 sq.m.)Carpet area: 530 sq.ft. (49.24 sq.m.),2.0,1.0,2,2.0,,Relatively New,700.0,,530.0,0,0,0,0,0,0,0
sector 65,flat,m3m latitude,4.7,19747.0,2380.11,Super Built up area 2380(221.11 sq.m.)Carpet area: 1231 sq.ft. (114.36 sq.m.),3.0,3.0,3+,9.0,North-East,Relatively New,2380.0,,1231.0,0,1,1,0,0,2,44
sector 79,flat,bestech altura,1.85,8604.0,2150.16,Super Built up area 2150(199.74 sq.m.),3.0,4.0,3+,11.0,North,New Property,2150.0,,,0,0,1,0,0,0,49
sector 99,flat,lotus elise,0.95,6551.0,1450.16,Carpet area: 1450 (134.71 sq.m.),2.0,3.0,3,7.0,,Relatively New,,,1450.0,0,0,1,0,0,0,0
sector 7,house,madan puri,0.75,12500.0,600.0,Plot area 600(55.74 sq.m.),3.0,5.0,3.0,3.0,South-East,Moderately Old,,600.0,,0,0,0,0,0,0,0
sector 85,flat,ss the leaf,2.3,8179.0,2812.08,Super Built up area 2812(261.24 sq.m.),4.0,4.0,3+,8.0,South,Relatively New,2812.0,,,0,0,1,0,0,0,21
sector 82,flat,mapsko casa bella,0.86,8120.0,1059.11,Super Built up area 1430(132.85 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3.0,3.0,3,5.0,South,Moderately Old,1430.0,,1056.0,0,0,0,0,1,2,120
sector 61,flat,smart world orchard,1.65,13750.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2.0,2.0,2,1.0,,Under Construction,,,1200.0,0,0,0,0,1,0,16
sector 102,flat,shapoorji pallonji joyville gurugram,1.26,10041.0,1254.86,Super Built up area 1215(112.88 sq.m.),2.0,2.0,2,10.0,North,Relatively New,1215.0,,,0,0,0,0,0,0,108
sector 37d,flat,signature global city,0.68,11724.0,580.01,Carpet area: 580 (53.88 sq.m.),2.0,2.0,3,9.0,,New Property,,,580.0,1,0,0,0,0,0,58
sector 23,house,independent,5.1,16569.0,3078.0,Plot area 342(285.96 sq.m.)Built Up area: 125 sq.yards (104.52 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),3.0,2.0,0,1.0,East,Old Property,,125.0,100.0,1,0,0,0,0,0,27
sector 109,house,international city by sobha phase 1,12.0,20000.0,6000.0,Plot area 8000(743.22 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5.0,6.0,3.0,2.0,North-East,Relatively New,,7000.0,6000.0,0,0,1,0,1,2,154
dlf phase,house,independent,13.5,37313.0,3618.0,Plot area 402(336.12 sq.m.),5.0,6.0,3+,4.0,North-East,Old Property,,3618.0,,1,0,0,0,0,2,79
surat nagar,house,shri shyam residency,0.62,12400.0,500.0,Plot area 500(46.45 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),3.0,3.0,1.0,2.0,,Moderately Old,,900.0,480.0,1,0,0,0,0,1,8
sector 33,flat,central park flower valley cerise floors,1.3,10743.0,1210.09,Super Built up area 1210(112.41 sq.m.),2.0,2.0,2,3.0,North,New Property,1210.0,,,0,0,0,0,1,0,22
sector 69,flat,tulip violet,1.46,9252.0,1578.04,Super Built up area 1578(146.6 sq.m.),3.0,3.0,2,0.0,North-East,Relatively New,1578.0,,,0,1,0,0,0,2,174
sector 11,house,independent,0.44,4251.0,1035.1,Carpet area: 115 (96.15 sq.m.),3.0,2.0,1.0,1.0,,Relatively New,,,115.0,1,1,0,0,0,0,46
sector 2,house,independent,0.7,7777.0,900.1,Built Up area: 900 (83.61 sq.m.),1.0,1.0,0,1.0,,Undefined,,900.0,,0,0,0,0,0,0,0
sector 65,flat,emaar mgf emerald floors,3.2,10159.0,3149.92,Built Up area: 3150 (292.64 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4.0,3.0,2,1.0,,Relatively New,,3150.0,1750.0,0,0,1,0,0,0,0
dlf phase,house,independent,10.0,229885.0,435.0,Carpet area: 435 (40.41 sq.m.),8.0,10.0,3+,1.0,West,Undefined,,,435.0,0,0,0,0,0,0,0
sector 70,flat,shree vardhman victoria,1.55,7948.0,1950.18,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,3.0,3,6.0,South-East,Relatively New,1950.0,,1161.0,1,1,1,0,1,0,49
dlf phase,flat,dlf the icon,6.0,26086.0,2300.08,Carpet area: 2300 (213.68 sq.m.),4.0,4.0,3+,18.0,North-East,Old Property,,,2300.0,0,0,1,0,0,2,150
sector 47,house,malibu towne,8.5,53125.0,1600.0,Built Up area: 1600 (148.64 sq.m.),12.0,12.0,3+,4.0,North,New Property,,1600.0,,0,0,0,0,0,2,99
sector 28,flat,sahara grace,5.5,14612.0,3764.03,Super Built up area 3764(349.69 sq.m.),4.0,5.0,3+,5.0,East,Moderately Old,3764.0,,,1,0,1,0,0,2,8
sector 102,flat,shapoorji pallonji joyville gurugram,1.77,9195.0,1924.96,Super Built up area 1827(169.73 sq.m.),3.0,3.0,3,1.0,North-East,Relatively New,1827.0,,,0,0,0,0,0,0,151
sector 107,flat,m3m woodshire,0.9,5867.0,1534.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),2.0,2.0,3,8.0,South,Relatively New,1534.0,,1056.0,0,0,0,0,1,2,74
sector 106,flat,paras dews,1.4,6000.0,2333.33,Super Built up area 1760(163.51 sq.m.),3.0,4.0,3+,12.0,,Under Construction,1760.0,,,1,0,1,0,1,0,55
sector 85,flat,orris aster court premier,1.2,5660.0,2120.14,Super Built up area 2120(196.95 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3.0,4.0,2,6.0,North-East,Relatively New,2120.0,1650.0,1550.0,0,0,1,0,0,0,28
sector 95,flat,signature global superbia,0.4,6728.0,594.53,Carpet area: 594.52 (55.23 sq.m.),2.0,2.0,3,2.0,,Under Construction,,,594.0,0,0,0,0,0,0,0
sector 70,flat,shree vardhman victoria,1.75,8974.0,1950.08,Built Up area: 1950 (181.16 sq.m.),3.0,4.0,2,16.0,,Relatively New,,1950.0,,0,1,1,0,0,0,49
sector 65,flat,m3m skycity,2.1,16030.0,1310.04,Super Built up area 1310(121.7 sq.m.),2.0,2.0,2,43.0,,New Property,1310.0,,,0,0,0,0,0,0,127
sector 56,flat,shri banke bihari society,1.35,6750.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3.0,3,5.0,East,Old Property,2000.0,1800.0,1600.0,1,0,0,0,0,2,82
sector 102,flat,adani m2k oyster grande,1.9,14074.0,1350.01,Super Built up area 1889(175.49 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3.0,4.0,3,21.0,,Relatively New,1889.0,,1350.0,0,0,1,0,0,0,60
sector 70,flat,shree vardhman victoria,1.65,8461.0,1950.12,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,4.0,3,5.0,South-East,Relatively New,1950.0,,1161.0,1,0,1,0,0,2,49
sector 70a,house,bptp pedestal,0.92,7750.0,1187.1,Carpet area: 1187 (110.28 sq.m.),2.0,3.0,3+,3.0,North-East,New Property,,,1187.0,1,0,0,0,0,0,153
sector 102,flat,shapoorji pallonji joyville gurugram,1.76,10224.0,1721.44,Super Built up area 1692(157.19 sq.m.),3.0,3.0,3,1.0,North-East,Relatively New,1692.0,,,0,0,0,0,0,0,100
sector 82a,house,vatika sovereign next,3.85,7500.0,5133.3,Built Up area: 5140 (477.52 sq.m.),5.0,6.0,3+,6.0,,Undefined,,5140.0,,0,0,0,0,0,0,53
sector 56,flat,kiran residency,1.54,8324.0,1850.07,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3.0,4.0,3+,5.0,South,Old Property,2000.0,1900.0,1850.0,0,0,1,0,0,2,98
sector 86,flat,dlf the skycourt,1.5,7776.0,1929.01,Super Built up area 1929(179.21 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1330 sq.ft. (123.56 sq.m.),3.0,3.0,1,15.0,South-East,Relatively New,1929.0,1550.0,1330.0,0,0,0,0,0,0,159
sohna road,flat,eldeco accolade,0.95,6542.0,1452.16,Super Built up area 1452(134.9 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2.0,2.0,3+,6.0,East,New Property,1452.0,,849.0,0,0,0,0,1,2,56
sector 36,flat,signature global park 4,0.72,6660.0,1081.08,Super Built up area 1081(100.43 sq.m.),3.0,2.0,3,3.0,,Under Construction,1081.0,,,0,0,0,0,0,0,0
sector 4,house,independent,0.5,10482.0,477.0,Built Up area: 53 (44.31 sq.m.),5.0,3.0,0,1.0,,Undefined,,53.0,,0,0,0,0,0,0,0
sector 48,flat,parsvnath green ville,1.86,7654.0,2430.1,Super Built up area 2430(225.75 sq.m.),3.0,3.0,3+,6.0,North,Moderately Old,2430.0,,,0,0,1,0,0,2,94
sector 83,flat,emaar palm gardens,3.15,8400.0,3750.0,Super Built up area 3750(348.39 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.)Carpet area: 2444.94 sq.ft. (227.14 sq.m.),5.0,7.0,3+,15.0,West,Relatively New,3750.0,3200.0,2444.0,0,0,1,0,0,2,165
dlf phase,house,independent,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),4.0,3.0,2.0,2.0,East,Relatively New,,1800.0,,0,0,0,1,0,0,21
sector 74,flat,m3m skywalk,1.55,13790.0,1124.0,Super Built up area 1406(130.62 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1124 sq.ft. (104.42 sq.m.),2.0,2.0,3+,18.0,South,Relatively New,1406.0,1300.0,1124.0,1,0,0,0,0,0,137
sector 40,house,independent,5.0,21124.0,2367.0,Plot area 263(219.9 sq.m.),9.0,9.0,3+,3.0,North-West,Moderately Old,,2367.0,,0,0,1,1,0,2,83
sector 70,flat,unitech south park,1.13,7000.0,1614.29,Super Built up area 1610(149.57 sq.m.),3.0,3.0,2,1.0,,Under Construction,1610.0,,,0,0,0,0,0,0,46
sector 99a,flat,pareena coban residences,1.13,5658.0,1997.17,Super Built up area 1997(185.53 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3.0,5.0,3,5.0,East,Relatively New,1997.0,1790.0,1500.0,1,0,1,0,0,0,49
sector 2,house,ansals palam vihar,4.0,16666.0,2400.1,Plot area 2400(222.97 sq.m.),4.0,4.0,3+,2.0,North-East,Moderately Old,,2400.0,,0,0,1,0,0,0,0
sector 1,flat,imt view society,0.95,3653.0,2600.6,Super Built up area 2600(241.55 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3.0,4.0,3,6.0,South-East,Moderately Old,2600.0,,1900.0,0,0,1,0,0,0,81
sector 82,flat,vatika the seven lamps,0.94,6567.0,1431.4,Super Built up area 1435(133.32 sq.m.),2.0,2.0,2,12.0,East,Relatively New,1435.0,,,0,0,0,0,1,2,103
sector 69,house,independent,0.8,10484.0,763.1,Built Up area: 763 (70.89 sq.m.),1.0,1.0,0,1.0,,Undefined,,763.0,,0,0,0,0,0,0,0
sector 92,flat,raheja sampada,0.9,6569.0,1370.07,Super Built up area 1370(127.28 sq.m.),3.0,2.0,3,11.0,East,Relatively New,1370.0,,,0,0,0,0,0,0,88
sector 91,flat,dlf new town heights,1.8,7679.0,2344.06,Carpet area: 2344 (217.76 sq.m.),4.0,4.0,3+,6.0,,Moderately Old,,,2344.0,0,1,1,0,0,0,81
sector 85,flat,ss the leaf,1.83,7610.0,2404.73,Super Built up area 2408(223.71 sq.m.)Built Up area: 1925 sq.ft. (178.84 sq.m.)Carpet area: 1875 sq.ft. (174.19 sq.m.),3.0,4.0,3,9.0,North-East,Relatively New,2408.0,1925.0,1875.0,0,0,0,0,0,0,49
sector 48,house,vipul tatvam villa,7.25,27971.0,2592.0,Plot area 288(240.8 sq.m.),3.0,4.0,2.0,2.0,South,Moderately Old,,2592.0,,0,1,1,1,1,2,115
sector 37d,flat,ramprastha the edge towers,0.98,5536.0,1770.23,Super Built up area 1770(164.44 sq.m.)Built Up area: 1675 sq.ft. (155.61 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,3+,5.0,North-East,Relatively New,1770.0,1675.0,1400.0,0,1,0,0,0,0,174
dlf phase,house,dlf city plots phase 2,4.5,33333.0,1350.0,Plot area 150(125.42 sq.m.),5.0,3.0,2.0,3.0,,Old Property,,1350.0,,0,1,0,1,0,0,25
sector 65,flat,m3m latitude,4.6,26790.0,1717.06,Carpet area: 1717 (159.51 sq.m.),3.0,3.0,3,7.0,South,New Property,,,1717.0,0,1,1,1,1,0,115
sector 109,flat,ats tourmaline,1.75,8139.0,2150.14,Super Built up area 2150(199.74 sq.m.),3.0,4.0,3+,9.0,North-East,Relatively New,2150.0,,,0,0,1,0,0,0,94
sector 81,flat,signature global synera,0.49,6666.0,735.07,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2.0,2.0,3,5.0,South,Relatively New,735.0,700.0,635.0,0,0,0,0,0,0,117
sector 37d,house,independent,2.5,13157.0,1900.1,Plot area 1900(176.52 sq.m.),5.0,5.0,3+,2.0,,Relatively New,,1900.0,,0,0,0,0,0,0,0
sector 4,house,independent,0.8,11852.0,675.0,Plot area 75(62.71 sq.m.),5.0,3.0,1.0,2.0,,Moderately Old,,675.0,,0,0,0,0,0,0,0
sector 33,house,unitech uniworld resorts,11.75,23240.0,5055.9,Plot area 502(419.74 sq.m.),5.0,7.0,3+,3.0,East,Relatively New,,4518.0,,0,0,1,0,0,0,80
sector 52,house,ardee city,2.25,16071.0,1400.0,Plot area 2160(200.67 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,3.0,4.0,South-East,New Property,,1800.0,1400.0,0,0,1,0,0,2,22
sector 105,house,independent,0.6,11102.0,540.4,Plot area 60(50.17 sq.m.),8.0,4.0,3.0,3.0,West,New Property,,540.0,,0,0,0,0,0,0,17
gwal pahari,flat,suncity vatsal valley,1.53,10699.0,1430.04,Carpet area: 1430 (132.85 sq.m.),3.0,3.0,3,2.0,North-East,New Property,,,1430.0,0,0,0,0,0,2,117
sector 90,flat,shree vardhman flora,0.92,4906.0,1875.25,Super Built up area 1875(174.19 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,4.0,3,4.0,North-East,Relatively New,1875.0,,1161.0,0,0,1,0,0,0,116
sector 79,flat,supertech araville,0.8,5266.0,1519.18,Carpet area: 1519 (141.12 sq.m.),2.0,2.0,2,12.0,,New Property,,,1519.0,0,0,0,0,1,0,49
